Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,220000,Cheques,TCI EXPRESS LIMITED,TCI EXPRESS TCI X
,220000,Cheques,V TRANS INDIA LIMITED,V TRANS INDIA
,220000,Cheques,VICHARE EXPRESS LOGISTIC,VICHARE EXPRESS LOGISTIC
,220000,Cheques,VRL LOGISTICS,VRL LOGISTICS
,220000,Cheques,VTC TRADEWINGS,VTC TRADEWINGS
,220000,Cheques,ASSOCIATED ROAD CARRIERS,ASSOCIATED ROAD CARRIERS
,220000,Cheques,AVINASH CARGO,AVINASH CARGO
,220000,Cheques,BLUE DART,BLUE DART
,220000,Cheques,CMA CGM AGENCIES INDIA,CMA CGM AGENCIES INDIA
,220000,Cheques,DHL EXPRESS INDIA,DHL EXPRESS INDIA
,220000,Cheques,FEDEX EXPRESS TRANS SUP,FEDEX EXPRESS TRANS SUP
,220000,Cheques,GTX,GTX
,220000,Cheques,INTERNATIONAL CARGO,INTERNATIONAL CARGO
,220000,Cheques,LALJI MULJI TRANSPORT,LALJI MULJI TRANSPORT
,220000,Cheques,MAERSK INDIA,MAERSK INDIA
,220000,Cheques,SHREE MARUTI COURIER,SHREE MARUTI COURIER
,220000,Cheques,TCI EXPRESS,TCI EXPRESS
,220000,Cheques,THE PROFESSIONAL COURIERS,THE PROFESSIONAL COURIERS
,220000,Cheques,VICHARE EXPRESS LOGISTIC,VICHARE EXPRESS LOGISTIC
,230000,Cheques,AKZO NOBEL,AKZO NOBEL INDIA
,230000,Cheques,ALKEM LABORATORIES,ALKEM LABORATORIES
,230000,Cheques,APOLLO TYRES,APOLLO TYRES
,230000,Cheques,ARISTO PHARMACEUTICALS,ARISTO PHARMACEUTICALS P
,230000,Cheques,ASIAN PAINTS,ASIAN PAINTS DEC
,230000,Cheques,ASIAN PAINTS,ASIAN PAINTS AA
,230000,Cheques,AVS INFORMATICS,AVS INFORMATICS
,230000,Cheques,BIOTIC WASTE SOLUTIONS,BIOTIC WASTE SOLUTIONS PR
,230000,Cheques,CADILA HEALTHCARE,CADILA HEALTHCARE LT
,230000,Cheques,CAVENDISH INDUSTRIES,CAVENDISH INDUSTRIES LIMI
,230000,Cheques,CG MARKETING,CG MARKETING SU
,230000,Cheques,DABUR INDIA LIMITED,DABUR INDIA FEM
,230000,Cheques,DNS ELECTRONIC,DNS ELECTRONIC
,230000,Cheques,GARDEN SILK MILLS,GARDEN SILK MILLS P F
,230000,Cheques,GARG AGENCIES,GARG AGENCIES
,230000,Cheques,GOOGLE INDIA,GOOGLE INDIA LIM
,230000,Cheques,GTX PRIVATE LIMITED,GTX
,230000,Cheques,INGRAM MICRO,INGRAM MICRO INDIA PRIVAT
,230000,Cheques,LIFESTAR PHARMA,LIFESTAR PHARMA L
,230000,Cheques,LUCKNOW MEDICAL AGENCIES,LUCKNOW MEDICAL AGENCIES
,230000,Cheques,LUCKY PHARMACEUTICALS,LUCKY PHARMACEUTICALS
,230000,Cheques,M K TRADERS,M K TRADERS
,230000,Cheques,MACLEODS PHARMACEUTICALS,MACLEODS PHARMACEUTICALS
,230000,Cheques,MANSHA AGENCIES,MANSHA AGENCIES
,230000,Cheques,MEHER DISTRIBUTORS,MEHER DISTRIBUTORS LT
,230000,Cheques,MITSUBISHI ELECTRIC,MITSUBISHI ELECTRIC INDI
