UTILITIES,METRO AND SMART TAGS,,150500,"['smart tag', 'rapid metro', 'dmrc', 'metro rail app', 'metro']"
UTILITIES,MOBILE AND TELEPHONY,,150600,"['phone bill', 'telecom', 'tata docomo cdma', 'telephone', 'airtel prepaid', 'mtnlmumpre', 'vodafone prepaid', 'telephone bill', 'aircel', 'airtel landline', 'mtnl delhi prepaid', 'mtnl', 'airtel telephone', 'phone recharge', 'jio', 'airtbb', 'landline', 'mobile bill', 'internet', 'ideapre', 'bsnlpre', 'vodafone', 'reliance communications ltd', 'ttslpre', 'airtelpre', 'mtnl dolphin', 'tata docomo gsm', 'docomopre', 'aircelpre', 'aircel prepaid', 'abde', 'talktime recharge', 'bsnl', 'abtska', 'mtnldelpre', 'bsnl prepaid', 'arpunj', 'airraj', 'mtnl mumbai prepaid', 'internet recharge', 'idea prepaid', 'postpaid', 'bharti airtel', 'uninorpre', 'vodafonpre', 'airguj', 'uninor prepaid', 'telephone reimbursment']"
UTILITIES,MUNICIPAL AND GOVT PAYMENTS,,150700,"['tmucor', 'nagar nigam', 'municipal']"
UTILITIES,TOLL,,150800,"['fastag', 'toll']"
TAXES,TAXES,,160000,"['tax', 'taxes']"
TAXES,INCOME TAX,,160100,"['income tax', 'adv tax', 'inc tax', 'advance tax', 'income tax india']"
TAXES,PROPERTY TAX,,160200,"['property tax', 'house tax', 'building tax', 'prop tax', 'pmcpt']"
TAXES,GOODS AND SERVICE TAX ,,160300,"['goods and service', 'gst', 'goods and services tax', 'goods and services']"
TAXES,VAT,,160400,"['value added tax', 'vat']"
TAXES,PROFESSIONAL TAX,,160500,['professional tax']
ENTERTAINMENT/SHOPPING/LIFESTYLE,MISC SPENDS,,170000,"['clothing', 'entertainment', 'shopping', 'clothes']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,CLUB REGISTRATION,,170100,"['yoga', 'zumba', 'club', 'gym', 'playground', 'cross fit', 'club registration', 'fitness', 'sports club', 'golf', 'health centre', 'swimming','cult','gold gym']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,CONTENT STREAMING,,170200,"['hbo', 'hulu', 'hotstar', 'netflix', 'voot', 'eros now', 'prime video', 'youtube', 'muvi', 'plex', 'bigflix', 'sony liv', 'alt balaji', 'amazon prime', 'viu', 'zee5']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,GAMING,,170300,"['gaming', 'khelo365', 'pubg', 'pokerbaazzi', 'game', 'hala play', 'teen patti', 'dream11']"
